No,ID,Province,Latitude,Longitude,Vs30
1,0140,Adana,37.56261,35.52924,0
2,0141,Adana,37.56256,35.52789,0
3,0142,Adana,37.62072,35.611148,0
4,0143,Adana,37.621415,35.611477,0
5,0128,Adana,37.250287,35.062788,494
6,0127,Adana,37.816183,35.92044,583
7,0131,Adana,37.856602,36.115347,0
8,0132,Adana,37.855892,36.114868,0
9,0133,Adana,37.745495,35.864025,0
10,0134,Adana,37.74427,35.864475,0
11,0129,Adana,38.259195,36.210863,965
12,0130,Adana,37.25186,35.67104,0
13,0137,Adana,37.704858,35.723258,0
14,0138,Adana,37.704858,35.723358,0
15,0139,Adana,37.400943,35.445322,0
16,0125,Adana,37.01519,35.79577,208
17,0118,Adana,37.03616,35.31843,946
18,0119,Adana,36.568,35.39,485
19,0120,Adana,36.77006,35.79005,439
20,0122,Adana,37.4339,35.82021,501
21,0123,Adana,37.00338,35.34376,519
22,0124,Adana,37.4087,34.87911,583
23,0215,Adiyaman,38.029958,38.556268,0
24,0216,Adiyaman,38.030907,38.557087,0
25,0217,Adiyaman,38.029958,38.556268,0
26,0210,Adiyaman,37.7672,38.2866,0
27,0213,Adiyaman,37.79667,37.92957,0
28,0208,Adiyaman,37.78694,37.65275,469
29,2713,Adiyaman,37.49254,37.62405,0
30,0201,Adiyaman,37.76121,38.26742,391
31,0214,Adiyaman,38.028298,38.22594,0
32,2104,Diyarbakir,38.2644,39.759,0
33,2106,Diyarbakir,38.4616,40.647,0
34,2103,Diyarbakir,37.94406,40.31274,0
35,2108,Diyarbakir,38.48776,41.002003,0
36,2101,Diyarbakir,37.93088,40.20278,519
37,2107,Diyarbakir,38.14594,39.48379,0
38,2715,Gaziantep,36.855364,36.685618,0
39,2716,Gaziantep,36.85643,36.68833,0
40,2717,Gaziantep,36.85548,36.690996,0
41,2708,Gaziantep,37.09933,36.648373,523
42,2709,Gaziantep,37.128525,36.670482,555
43,2707,Gaziantep,36.930889,36.573771,558
44,2710,Gaziantep,37.43291,37.68658,0
45,2712,Gaziantep,37.184,36.73283,0
46,2711,Gaziantep,37.31736,37.56036,0
47,2703,Gaziantep,37.058,37.35,758
48,2704,Gaziantep,37.00879,37.80215,721
49,2718,Gaziantep,37.00777,36.6266,0
50,3140,Hatay,36.08155,35.94982,210
51,3141,Hatay,36.3726,36.21973,338
52,3136,Hatay,36.11593,36.24722,344
53,3126,Hatay,36.2202,36.1375,350
54,3139,Hatay,36.58383,36.41439,272
55,3124,Hatay,36.2387,36.1722,283
56,3134,Hatay,36.82763,36.20485,374
57,3132,Hatay,36.20673,36.17159,377
58,3133,Hatay,36.2432,36.5736,377
59,3143,Hatay,36.848907,36.557138,444
60,3129,Hatay,36.19117,36.1343,447
61,3125,Hatay,36.23808,36.13264,448
62,3135,Hatay,36.40886,35.8831,460
63,3123,Hatay,36.21423,36.15973,470
64,3144,Hatay,36.75691,36.485742,485
65,3145,Hatay,36.64536,36.4064,533
66,3142,Hatay,36.49797,36.36612,539
67,3131,Hatay,36.19121,36.16328,567
68,3138,Hatay,36.80262,36.51119,618
69,3137,Hatay,36.69293,36.48852,688
70,3147,Hatay,35.902362,36.064358,0
71,3146,Hatay,36.490758,36.226952,0
72,3112,Hatay,36.58801,36.14766,233
73,3113,Hatay,36.57752,36.14766,221
74,3114,Hatay,36.56704,36.15135,215
75,3115,Hatay,36.54634,36.16459,424
76,3116,Hatay,36.61618,36.20661,870
77,3117,Hatay,36.55712,36.17471,597
78,3119,Hatay,36.57527,36.16811,374
79,3120,Hatay,36.58924,36.20568,455
80,3121,Hatay,36.66408,36.21825,271
81,7901,Kilis,36.7088,37.1123,463
82,4412,Malatya,38.59685,38.18385,0
83,4410,Malatya,38.86677,37.679,0
84,4408,Malatya,38.09616,37.88732,654
85,4409,Malatya,38.56063,37.49076,0
86,4413,Malatya,38.313533,39.039342,0
87,4414,Malatya,38.406947,38.754133,0
88,4404,Malatya,38.19588,38.87385,1380
89,4405,Malatya,38.8107,37.9396,579
90,4406,Malatya,38.34388,37.97378,815
91,4407,Malatya,38.78066,38.26406,735
92,4615,Kahramanmaras,37.38676,37.13803,484
93,4613,Kahramanmaras,37.5701,36.35737,998
94,4617,Kahramanmaras,37.58551,36.8303,574
95,4618,Kahramanmaras,37.60011,36.87231,715
96,4619,Kahramanmaras,37.58702,36.86616,545
97,4620,Kahramanmaras,37.58568,36.89845,484
98,4621,Kahramanmaras,37.59347,36.92909,714
99,4630,Kahramanmaras,37.344912,36.806037,347
100,4631,Kahramanmaras,37.966325,37.427653,543
101,4624,Kahramanmaras,37.5361,36.91765,280
102,4629,Kahramanmaras,37.287373,36.788705,382
103,4632,Kahramanmaras,37.256028,36.773694,428
104,6305,Sanliurfa,37.16045,38.786937,0
105,6306,Sanliurfa,36.727695,38.947,0
106,6302,Sanliurfa,37.2342,39.7509,936
107,6303,Sanliurfa,37.7524,39.3291,986
108,6304,Sanliurfa,37.36509,38.51316,376
109,8003,Osmaniye,37.08417,36.26936,350
110,8004,Osmaniye,37.379888,36.097633,426
111,8002,Osmaniye,37.19156,36.56195,430
